H TEAM,A TEAM,GD,ATTD,MIDD,DEFD,TARGET
Argentina,Ecuador,3,12,10,6,1
Argentina,Colombia,0,5,3,4,1
Argentina,Brazil,1,2,0,-2,1
Argentina,Venezuala,2,12,12,12,1
Argentina,Bolivia,3,26,16,15,1
Argentina,Paraguay,0,14,8,9,1
Argentina,Uruguay,3,5,0,2,1
Argentina,Peru,1,15,9,10,1
Argentina,Uruguay,1,5,0,2,1
Argentina,Brazil,0,2,0,-2,0
Argentina,Chile,1,12,6,8,1
Argentina,Colombia,1,5,3,4,1
Argentina,Venezuala,3,12,12,12,1
Argentina,Ecuador,0,12,10,6,0
Argentina,Itlay,3,3,-2,-1,1
Argentina,Saudi Arabia,-1,15,10,10,-1
Argentina,Mexico,2,7,5,4,1
Argentina,Poland,2,5,7,6,1
Argentina,Australia,1,14,10,10,1
Argentina,Netherlands,0,4,0,-2,1
Argentina,Croatia,3,6,-1,3,1
