H TEAM,A TEAM,GD,ATTD,MIDD,DEFD,TARGET
France,Bosnia and Herzegovina,0,10,7,8,0
France,Ukraine,0,10,4,9,0
France,Finland,2,15,11,15,1
France,Belgium,1,2,2,3,1
France,Spain,1,3,-3,-1,1
France,Kazakhstan,8,19,14,14,1
France,Finland,2,15,11,15,1
France,Côte d'Ivoire ,1,9,7,6,1
France,South africa,5,15,11,11,1
France,Denmark,-1,9,0,-2,-1
France,Crotia,0,6,-1,4,0
France,Austria,0,7,5,4,0
France,Crotia,-1,6,-1,4,-1
France,Austria,2,7,5,4,1
France,Denmark,-2,9,0,-2,-1
France,Australia,3,14,10,11,1
France,Denmark,1,9,0,-2,1
France,Tunisia,-1,14,9,10,-1
France,Poland,2,5,7,7,1
France,England,1,1,-1,-1,1
France,Morroco,2,10,9,9,1
